wav_file,json_distance,wav_predicted_distance,json_decibel,wav_predicted_decibel,json_direction,wav_predicted_direction,match_distance,match_decibel,match_direction
1.자동차_1000_1.wav,30m,3.9m,122.0,73.2,우,왼쪽,False,False,False
1.자동차_1001_1.wav,10m,3.2m,105.0,74.8,좌,오른쪽,False,False,False
1.자동차_1008_1.wav,13m,10.2m,71.0,64.8,우,오른쪽,True,False,False
1.자동차_1010_1.wav,10m,6.4m,74.0,68.8,좌,오른쪽,True,False,False
1.자동차_1011_1.wav,24m,2.9m,120.0,75.7,우,오른쪽,False,False,False
1.자동차_1012_1.wav,10m,9.9m,70.0,65.1,좌,왼쪽,True,True,False
1.자동차_1013_1.wav,24m,8.0m,69.0,67.0,우,오른쪽,False,True,False
1.자동차_1017_1.wav,1m,2.6m,106.0,76.6,우,왼쪽,True,False,False
1.자동차_1018_1.wav,2m,3.1m,126.0,75.2,우,오른쪽,True,False,False
1.자동차_1020_1.wav,10m,9.3m,70.0,65.6,좌,왼쪽,True,True,False
1.자동차_1025_1.wav,30m,5.1m,121.0,70.9,우,왼쪽,False,False,False
1.자동차_1028_1.wav,10m,3.9m,112.0,73.2,좌,왼쪽,False,False,False
1.자동차_102_1.wav,10m,1.2m,118.0,83.7,좌,왼쪽,False,False,False
1.자동차_1030_1.wav,10m,5.9m,69.0,69.6,우,오른쪽,True,True,False
1.자동차_1033_1.wav,11m,6.7m,72.0,68.4,우,오른쪽,True,True,False
1.자동차_1040_1.wav,24m,3.5m,93.0,74.0,우,오른쪽,False,False,False
1.자동차_1041_1.wav,1m,4.3m,110.0,72.2,우,오른쪽,True,False,False
1.자동차_1045_1.wav,30m,4.0m,93.0,73.0,우,왼쪽,False,False,False
1.자동차_1046_1.wav,25m,3.7m,101.0,73.6,우,오른쪽,False,False,False
1.자동차_1047_1.wav,12m,10.5m,71.0,64.6,우,오른쪽,True,False,False
1.자동차_1050_1.wav,9m,4.2m,121.0,72.5,좌,오른쪽,True,False,False
1.자동차_1052_1.wav,1m,4.1m,118.0,72.8,우,오른쪽,True,False,False
1.자동차_1053_1.wav,2m,4.4m,97.0,72.1,좌,왼쪽,True,False,False
1.자동차_1054_1.wav,10m,5.3m,91.0,70.5,좌,오른쪽,True,False,False
1.자동차_1056_1.wav,10m,5.5m,81.0,70.1,우,오른쪽,True,False,False
1.자동차_1058_1.wav,10m,13.1m,75.0,62.6,좌,왼쪽,True,False,False
1.자동차_1060_1.wav,10m,4.0m,118.0,72.9,좌,오른쪽,False,False,False
1.자동차_1061_1.wav,10m,4.7m,88.0,71.6,우,왼쪽,False,False,False
1.자동차_1062_1.wav,10m,2.8m,115.0,76.0,우,왼쪽,False,False,False
1.자동차_1063_1.wav,3m,4.2m,118.0,72.5,우,오른쪽,True,False,False
1.자동차_1064_1.wav,60m,11.9m,68.0,63.5,우,오른쪽,False,True,False
1.자동차_1065_1.wav,15m,5.1m,76.0,70.8,우,왼쪽,False,False,False
1.자동차_1066_1.wav,30m,7.3m,82.0,67.7,우,왼쪽,False,False,False
1.자동차_1067_1.wav,13m,3.7m,106.0,73.6,우,오른쪽,False,False,False
1.자동차_1069_1.wav,25m,7.8m,92.0,67.2,우,오른쪽,False,False,False
1.자동차_106_1.wav,10m,4.3m,71.0,72.3,우,왼쪽,False,True,False
1.자동차_1070_1.wav,10m,10.3m,72.0,64.7,좌,왼쪽,True,False,False
1.자동차_1071_1.wav,5m,4.1m,98.0,72.8,우,오른쪽,True,False,False
1.자동차_1075_1.wav,30m,4.9m,124.0,71.2,우,왼쪽,False,False,False
1.자동차_1076_1.wav,10m,4.3m,81.0,72.4,우,왼쪽,False,False,False
1.자동차_1077_1.wav,10m,10.2m,71.0,64.8,좌,왼쪽,True,False,False
1.자동차_1079_1.wav,10m,5.4m,95.0,70.3,좌,오른쪽,True,False,False
1.자동차_1080_1.wav,5m,3.0m,119.0,75.5,우,오른쪽,True,False,False
1.자동차_1082_1.wav,12m,9.1m,73.0,65.8,우,오른쪽,True,False,False
1.자동차_1085_1.wav,30m,8.1m,75.0,66.8,우,왼쪽,False,False,False
1.자동차_1087_1.wav,30m,4.4m,88.0,72.1,우,왼쪽,False,False,False
1.자동차_1088_1.wav,24m,5.2m,101.0,70.7,우,오른쪽,False,False,False
1.자동차_108_1.wav,8m,3.4m,89.0,74.3,우,왼쪽,True,False,False
1.자동차_1091_1.wav,11m,7.9m,74.0,67.0,우,오른쪽,True,False,False
1.자동차_1093_1.wav,10m,5.4m,69.0,70.3,우,왼쪽,True,True,False
1.자동차_1094_1.wav,10m,10.6m,73.0,64.5,좌,왼쪽,True,False,False
1.자동차_1095_1.wav,10m,5.8m,85.0,69.7,우,오른쪽,True,False,False
1.자동차_1096_1.wav,24m,3.2m,107.0,75.0,우,오른쪽,False,False,False
1.자동차_1098_1.wav,30m,4.8m,73.0,71.4,우,왼쪽,False,True,False
1.자동차_1100_1.wav,10m,10.4m,74.0,64.7,좌,오른쪽,True,False,False
1.자동차_1108_1.wav,10m,3.6m,105.0,74.0,좌,오른쪽,False,False,False
1.자동차_110_1.wav,1m,1.7m,113.0,80.4,좌,왼쪽,True,False,False
1.자동차_1110_1.wav,2m,9.2m,71.0,65.7,우,오른쪽,False,False,False
1.자동차_1113_1.wav,10m,4.1m,119.0,72.8,우,왼쪽,False,False,False
1.자동차_1114_1.wav,1m,8.3m,102.0,66.7,우,오른쪽,False,False,False
1.자동차_1115_1.wav,2m,3.1m,110.0,75.1,좌,오른쪽,True,False,False
1.자동차_1116_1.wav,24m,4.4m,113.0,72.2,우,오른쪽,False,False,False
1.자동차_1118_1.wav,5m,4.8m,76.0,71.5,우,오른쪽,True,True,False
1.자동차_111_1.wav,10m,3.7m,70.0,73.7,우,왼쪽,False,True,False
1.자동차_1120_1.wav,2m,3.3m,120.0,74.6,좌,오른쪽,True,False,False
1.자동차_1121_1.wav,10m,3.5m,108.0,74.2,우,왼쪽,False,False,False
1.자동차_1122_1.wav,30m,8.0m,73.0,66.9,우,오른쪽,False,False,False
1.자동차_1125_1.wav,3m,1.8m,121.0,80.1,좌,오른쪽,True,False,False
